A,B,Label
Parallelogram,Rotational symmetry,0
Angle,Isosceles triangle,0
Angle,Pythagorean theorem,0
Edge (geometry),Acute and obtuse triangles,0
Cartesian coordinate system,Line (geometry),1
Polygon,Line segment,1
Angle,Two-dimensional space,0
Point (geometry),Two-dimensional space,0
Grade (slope),Geometry,1
Quadrilateral,Parallel (geometry),0
Perpendicular,Cone,0
Line segment,Bisection,0
Angle,Collinearity,0
Midpoint,Arc (geometry),0
Edge (geometry),Isosceles triangle,0
Edge (geometry),Internal and external angle,0
Rectangle,Right triangle,0
Vertex (geometry),Pythagorean theorem,0
Rotational symmetry,Prism (geometry),0
Concentric,Geometry,1
Circle,Cross section (geometry),0
Parallelogram,Circumference,0
Pythagorean theorem,Pythagorean triple,0
Similarity (geometry),Sphere,0
Special right triangles,Right angle,1
Quadrilateral,Internal and external angle,0
Pythagorean triple,Pythagorean theorem,1
Circle,Geometry,1
Point (geometry),Quadrilateral,0
Pythagorean triple,Right triangle,1
Radius,Sine,0
Line segment,Pythagorean triple,0
Line (geometry),Diameter,0
Quadrilateral,Collinearity,0
Two-dimensional space,Nonagon,0
Circle,Vertex (geometry),0
Two-dimensional space,Plane (geometry),1
Dodecagon,Angle,1
Vertex (geometry),Heptagon,0
Chord (geometry),Angle,0
Symmetry,Parallelogram,0
Cylinder (geometry),Perpendicular,0
Coordinate system,Geometry,1
Circle,Bisection,0
Polygon,Octagon,0
Perpendicular,Coordinate system,0
Midpoint,Altitude (triangle),0
Point (geometry),Star polygon,0
Line (geometry),Pyramid (geometry),0
Edge (geometry),Right triangle,0
Bisection,Triangle,0
Parallelogram,Angle,1
Point (geometry),Hexagon,0
Dodecagon,Polyhedron,0
Kite (geometry),Angle,1
Circumference,Arc (geometry),0
Line (geometry),Convex polygon,0
Convex polygon,Geometry,1
Parallel (geometry),Perpendicular,0
Line segment,Vertex (geometry),0
Scale factor,Scaling (geometry),0
Line segment,Dodecagon,0
Rhombus,Perpendicular,0
Pentagon,Edge (geometry),1
Perpendicular,Angle,1
Parallel (geometry),Angle,0
Perpendicular,Two-dimensional space,0
Rectangle,Point (geometry),1
Diameter,Radius,1
Midpoint,Plane (geometry),0
Rhombus,Edge (geometry),1
Vertex (geometry),Nonagon,0
Tangent,Sine,0
Right triangle,Polygon,1
Point (geometry),Secant line,0
Reflection symmetry,Line (geometry),1
Line segment,Pentagon,0
Parallel (geometry),Skew lines,0
Acute and obtuse triangles,Vertex (geometry),1
Quadrilateral,Triangle inequality,0
Line (geometry),Plane (geometry),0
Chord (geometry),Pythagorean theorem,0
Rotational symmetry,Trapezoid,0
Rhombus,Parallelogram,1
Acute and obtuse triangles,Triangle,1
Trigonometric functions,Line (geometry),1
Parallelogram,Convex polygon,0
Arc length,Distance,1
Circle,Diameter,0
Rhombus,Vertex (geometry),1
Edge (geometry),Trigonometric functions,0
Geometry,Star polygon,0
Acute and obtuse triangles,Polygon,1
Right angle,Geometry,1
Sine,Trigonometric functions,1
Edge (geometry),Hendecagon,0
Polygon,Right triangle,0
Circle,Sine,0
Altitude (triangle),Geometry,1
Line (geometry),Kite (geometry),0
Inverse trigonometric functions,Line segment,1
Equilateral triangle,Angle,1
Midpoint,Point (geometry),1
Chord (geometry),Sine,0
Line (geometry),Reflection symmetry,0
Right triangle,Altitude (triangle),0
Heptagon,Radius,0
Collinearity,Cone,0
Trapezoid,Geometry,1
Line segment,Collinearity,0
Circle,Two-dimensional space,0
Polyhedron,Geometry,1
Polyhedron,Point (geometry),1
Angle,Reflection (mathematics),0
Cross section (geometry),Geometry,1
Triangle,Arc length,0
Polygon,Quadrilateral,0
Translation (geometry),Distance,0
Line (geometry),Prism (geometry),0
Equilateral triangle,Geometry,1
Polygon,Rectangle,0
Octagon,Line segment,1
Geometry,Cylinder (geometry),0
Perpendicular,Trapezoid,0
Symmetry,Translation (geometry),0
Point (geometry),Angle bisector theorem,0
Triangle inequality,Arc length,0
Vertex (geometry),Polygon,0
Diameter,Line segment,1
Vertex (geometry),Altitude (triangle),0
Line (geometry),Secant line,0
Circumference,Polygon,0
Polyhedron,Line (geometry),1
Cylinder (geometry),Tangent,0
Geometry,Decagon,0
Polygon,Hendecagon,0
Angle,Distance,0
Bisection,Congruence (geometry),0
Geometry,Square,0
Decagon,Edge (geometry),1
Altitude (triangle),Line (geometry),1
Rotation (mathematics),Distance,0
Vertex (geometry),Star polygon,0
Line (geometry),Angle,0
Self-similarity,Similarity (geometry),1
Rhombus,Square,0
Altitude (triangle),Point (geometry),1
Edge (geometry),Line (geometry),1
Reflection symmetry,Reflection (mathematics),1
Pythagorean theorem,Arc length,0
Geometry,Prism (geometry),0
Trigonometric functions,Chord (geometry),0
Acute and obtuse triangles,Right triangle,0
Cylinder (geometry),Radius,0
Inverse trigonometric functions,Tangent,0
Geometry,Symmetry,0
Angle bisector theorem,Point (geometry),1
Rotation (mathematics),Rigid transformation,0
Star polygon,Vertex (geometry),1
Convex polygon,Point (geometry),1
Point (geometry),Radius,0
Cylinder (geometry),Polyhedron,0
Pythagorean triple,Line (geometry),1
Parallel (geometry),Tangent,0
Line segment,Arc (geometry),0
Reflection symmetry,Geometry,1
Polygon,Rhombus,0
Point (geometry),Isosceles triangle,0
Triangle,Altitude (triangle),0
Line (geometry),Trapezoid,0
Rhombus,Sine,0
Line (geometry),Pythagorean triple,0
Cartesian coordinate system,Two-dimensional space,1
Special right triangles,Line segment,1
Vertex (geometry),Pyramid (geometry),0
Geometry,Midpoint,0
Special right triangles,Circle,0
Pentagon,Point (geometry),1
Right triangle,Isosceles triangle,0
Pythagorean triple,Polygon,1
Angle bisector theorem,Geometry,1
Circle,Slope,0
Geometry,Similarity (geometry),0
Point (geometry),Midpoint,0
Line (geometry),Decagon,0
Point (geometry),Arc length,0
Angle,Perpendicular,0
Nonagon,Line segment,1
Reflection (mathematics),Circle,0
Perpendicular,Vertex (geometry),0
Vertex (geometry),Rectangle,0
Square,Trapezoid,0
Rhombus,Kite (geometry),0
Rotational symmetry,Line (geometry),1
Inverse trigonometric functions,Geometry,1
Perpendicular,Internal and external angle,0
Quadrilateral,Reflection symmetry,0
Similarity (geometry),Polygon,0
Vertex (geometry),Prism (geometry),0
Point (geometry),Geometry,1
Rhombus,Triangle,0
Circle,Internal and external angle,0
Isosceles triangle,Geometry,1
Pythagorean triple,Angle,1
