A,B,label
Differential equation,Number,1
Asymptote,Line (geometry),1
Cartesian coordinate system,Line (geometry),1
Partial fraction decomposition,Arithmetic,1
Logarithm,Natural logarithm,0
Square root,Exponentiation,0
Polygon,Line segment,1
Base (exponentiation),Exponential function,0
Equation,Quadratic equation,0
Mathematics,Linear inequality,0
Binomial theorem,Addition,1
Associative property,Complex number,0
Exponential growth,Exponential function,1
Mathematical induction,Mathematical proof,1
Quadratic formula,Real number,0
Continuous function,Mathematics,1
Asymptote,Mathematics,1
Circular sector,Geometry,1
Mathematics,Vertical line test,0
Integer,Partial fraction decomposition,0
Factorization,Partial fraction decomposition,0
Real number,Inequality (mathematics),0
Arithmetic,Mathematics,1
Addition,Circle,0
Dependent and independent variables,Function (mathematics),1
Equation,Pythagorean theorem,0
Line (geometry),Secant line,0
Algebra,Number,1
Sine wave,Mathematics,1
Circle,Geometry,1
Piecewise,Inverse function,0
Multiplication,Common logarithm,0
Empty sum,Arithmetic,1
Number,Empty sum,0
Linear equation,Equation,1
Solution of triangles,Point (geometry),1
Synthetic division,Polynomial long division,1
Inequality (mathematics),Mathematics,1
Arithmetic,Factorization,0
Function (mathematics),Exponential growth,0
Algebraic expression,Distributive property,0
Square (algebra),Algebraic expression,0
Line–line intersection,Point (geometry),1
Inequality (mathematics),Equality (mathematics),1
Rational number,Nth root,0
Parametric equation,Equation,1
Prime number,Zero of a function,0
Homogeneous polynomial,Addition,1
Limit of a function,Function (mathematics),1
Constant function,Linear function,0
Law of sines,Line segment,1
Minor (linear algebra),Square matrix,1
Coordinate system,Geometry,1
Number,Quadrant (plane geometry),0
Sine,Mathematics,1
Periodic function,Simple harmonic motion,0
Arithmetic,Subtraction,0
Associative property,Multiplication,0
Limit of a sequence,Mathematics,1
Focus (geometry),Circle,0
Exponentiation,Arithmetic,1
Perpendicular,Coordinate system,0
Function (mathematics),Periodic function,0
Quadratic formula,Arithmetic,1
Solution of triangles,Triangle,1
Addition,Rational number,0
Exponentiation,Quadratic equation,0
Rational root theorem,Equation,1
Secant line,Asymptote,0
Polynomial long division,Multiplication,1
Law of sines,Sine,1
Addition,Negative number,0
Constant function,Even and odd functions,0
Set (mathematics),Number,0
Division (mathematics),Partial fraction decomposition,0
Geometry,Circular sector,0
Linear equation,Quadratic equation,0
Scalar (mathematics),Vector (mathematics and physics),1
Mathematics,Degree of a polynomial,0
Multiplication,Rational number,0
Line (geometry),Radius,0
Linear equation,Mathematics,1
Orientation (geometry),Mathematics,1
Mathematics,Continuous function,0
Logarithm,Slope,0
Perpendicular,Angle,1
Algebra,Mathematics,1
Scientific notation,Real number,0
Real line,Geometry,1
Mathematics,Polygon,0
Position (vector),Vector (mathematics and physics),1
Floor and ceiling functions,Division (mathematics),0
Binomial,Minor (linear algebra),0
Right triangle,Polygon,1
Mathematics,Sine wave,0
Binomial coefficient,Multiplication,1
Sine,Law of sines,0
Multiplicative inverse,Multiplication,1
Scalar multiplication,Scalar (mathematics),1
Polynomial,Circle,0
Function (mathematics),Nth root,0
Addition,Commutative property,0
Division (mathematics),Multiplication,0
Addition,Binary logarithm,0
Arithmetic,Algebraic expression,0
Conic section,Mathematics,1
Arithmetic,Homogeneous polynomial,0
Addition,Linear inequality,0
Trigonometric functions,Inverse trigonometric functions,0
Arithmetic,Exponentiation,0
Coordinate system,Complex number,0
Secant line,Curve,1
Right angle,Geometry,1
Unit circle,Nth root,0
Polygon,Law of sines,0
Triangular matrix,Mathematics,1
Force,Mathematics,0
Polygon,Right triangle,0
Function (mathematics),Image (mathematics),0
Geometry,Vector (mathematics and physics),0
Analytic geometry,Cartesian coordinate system,1
Vector (mathematics and physics),Euclidean vector,0
Quadratic equation,Quadratic formula,0
Union (set theory),Empty set,0
Binomial,Binomial theorem,0
Multiplicative inverse,Mathematics,1
Complex number,Zero of a function,0
System of linear equations,Mathematics,1
Vector space,Scalar (mathematics),0
Natural logarithm,Arithmetic,1
Right triangle,Line (geometry),1
Linear equation,Cartesian coordinate system,0
Exponentiation,Multiplicative inverse,0
Spherical law of cosines,Geometry,1
Mathematics,Common logarithm,0
Multiplication,Binomial,0
Logarithm,Mathematics,1
Equation,Degree of a polynomial,0
Eccentricity (mathematics),Line (geometry),1
Geometry,System of linear equations,0
Equation,Equality (mathematics),1
Associative property,Commutative property,0
Exponential growth,Number,1
Number,Degree of a polynomial,0
Homogeneous polynomial,Mathematics,1
Unit circle,Integer,0
Geometry,Cylinder (geometry),0
Geometry,Polar coordinate system,0
Line (geometry),Real line,0
Negative number,Division (mathematics),0
Synthetic division,Degree of a polynomial,1
Main diagonal,Elementary matrix,0
Linear inequality,Calculus,1
Injective function,Function (mathematics),1
Number,Scalar multiplication,0
Geometry,Point (geometry),0
Exponentiation,Real number,0
Integer,Multiplicative inverse,0
Geometry,Pythagorean theorem,0
Arithmetic,Division (mathematics),0
Mathematics,Mereology,0
Parity (mathematics),Even and odd functions,0
Set (mathematics),Real number,0
Geometric series,Geometry,0
Mathematics,Cross product,0
Solution of triangles,Line (geometry),1
Exponentiation,Imaginary number,0
Series (mathematics),Calculus,1
Line (geometry),Ellipse,0
Empty sum,Addition,1
Dot product,Arithmetic,1
Equation,Quadratic formula,0
Algebraic expression,Square root,1
Quadratic formula,Polynomial,1
Origin (mathematics),Geometry,1
Union (set theory),Natural number,0
Multiplication,Function (mathematics),0
Addition,Polynomial long division,0
Addition,Mathematics,1
Mathematics,Algebraic equation,0
Matrix (mathematics),Triangular matrix,0
Logarithm,Number,1
Circle,Analytic geometry,0
Polynomial,Number,1
Exponential function,Mathematics,1
Range (statistics),Graph of a function,0
Real number,Nth root,0
Even and odd functions,Mathematics,1
Trigonometry,Geometry,1
Number,Integer,0
Point (geometry),Radius,0
Quadratic formula,Equation,1
Focus (geometry),Ellipse,0
Polynomial,Function (mathematics),0
Coordinate system,Real number,0
System of linear equations,Equality (mathematics),1
